sample,chr,startpos,endpos
P105_1,chr8,60581761,73597217
P105_1,chr8,73597218,82764249
P105_1,chr8,82764250,85357939
P105_1,chr8,85357940,89411514
P105_1,chr8,89411515,97182006
P105_1,chr8,97182007,99216129
P105_1,chr8,99216130,103305816
P105_1,chr8,103305817,104465056
P105_1,chr8,104465057,108073580
P105_1,chr8,108073581,115983208
P105_1,chr8,115983209,120162345
P105_1,chr8,120162346,126819010
P105_1,chr8,126819011,129360296
P105_1,chr8,129360297,136066331
P105_1,chr8,136066332,140598928
P105_1,chr8,140598929,140656750
P105_1,chr8,140656751,140941338
P105_1,chr8,140941339,146259314
P105_2,chr8,0,3421
P105_2,chr8,3422,2319770
P105_2,chr8,2319771,2742010
P105_2,chr8,2742011,22858570
P105_2,chr8,22858571,28541120
P105_2,chr8,28541121,34461471
P105_2,chr8,34461472,44468707
P105_2,chr8,44468708,46312084
P105_2,chr8,46312085,46623554
P105_2,chr8,46623555,58604285
P105_2,chr8,58604286,58868732
P105_2,chr8,58868733,68096642
P105_2,chr8,68096643,73274565
P105_2,chr8,73274566,79889264
P105_2,chr8,79889265,82181550
P105_2,chr8,82181551,82874359
P105_2,chr8,82874360,87868905
P105_2,chr8,87868906,92120848
P105_2,chr8,92120849,93208010
P105_2,chr8,93208011,94716616
P105_2,chr8,94716617,146259314
P106_1,chr8,0,3421
P106_1,chr8,3422,139926
P106_1,chr8,139927,8154896
P106_1,chr8,8154897,11013681
P106_1,chr8,11013682,12917176
P106_1,chr8,12917177,17050923
P106_1,chr8,17050924,30881864
P106_1,chr8,30881865,34661409
P106_1,chr8,34661410,38605866
P106_1,chr8,38605867,39475729
P106_1,chr8,39475730,41691436
P106_1,chr8,41691437,43964355
P106_1,chr8,43964356,44681223
P106_1,chr8,44681224,45000005
P106_1,chr8,45000006,46520714
P106_1,chr8,46520715,47600256
P106_1,chr8,47600257,48453432
P106_1,chr8,48453433,48487414
P106_1,chr8,48487415,48915043
P106_1,chr8,48915044,49966386
P106_1,chr8,49966387,51374134
P106_1,chr8,51374135,51602677
P106_1,chr8,51602678,51716757
P106_1,chr8,51716758,53019054
P106_1,chr8,53019055,53785055
P106_1,chr8,53785056,54670194
P106_1,chr8,54670195,55624138
P106_1,chr8,55624139,57149571
P106_1,chr8,57149572,57186947
P106_1,chr8,57186948,58585426
P106_1,chr8,58585427,58631900
P106_1,chr8,58631901,59983398
P106_1,chr8,59983399,60294183
P106_1,chr8,60294184,60854012
P106_1,chr8,60854013,62065592
P106_1,chr8,62065593,62710210
P106_1,chr8,62710211,63601215
P106_1,chr8,63601216,64247263
P106_1,chr8,64247264,66082460
P106_1,chr8,66082461,69431251
P106_1,chr8,69431252,71259017
P106_1,chr8,71259018,72479241
P106_1,chr8,72479242,72820232
P106_1,chr8,72820233,77538982
P106_1,chr8,77538983,77551044
P106_1,chr8,77551045,77755103
P106_1,chr8,77755104,78143041
P106_1,chr8,78143042,79533854
P106_1,chr8,79533855,80979427
P106_1,chr8,80979428,82543250
P106_1,chr8,82543251,84570593
P106_1,chr8,84570594,85057492
P106_1,chr8,85057493,85605280
P106_1,chr8,85605281,86631101
P106_1,chr8,86631102,87152787
P106_1,chr8,87152788,88610469
P106_1,chr8,88610470,88801958
P106_1,chr8,88801959,88925316
P106_1,chr8,88925317,89088463
P106_1,chr8,89088464,90406867
P106_1,chr8,90406868,92792203
P106_1,chr8,92792204,93281355
P106_1,chr8,93281356,93428752
P106_1,chr8,93428753,95321611
P106_1,chr8,95321612,95690490
P106_1,chr8,95690491,96018514
P106_1,chr8,96018515,96231585
P106_1,chr8,96231586,96327789
P106_1,chr8,96327790,96438308
P106_1,chr8,96438309,101206028
P106_1,chr8,101206029,101800219
P106_1,chr8,101800220,103724390
P106_1,chr8,103724391,103817445
P106_1,chr8,103817446,106831845
P106_1,chr8,106831846,107790847
P106_1,chr8,107790848,116920056
P106_1,chr8,116920057,146259314
P106_2,chr8,0,3421
P106_2,chr8,3422,3489554
P106_2,chr8,3489555,11919232
P106_2,chr8,11919233,17286573
P106_2,chr8,17286574,20893854
P106_2,chr8,20893855,21971825
P106_2,chr8,21971826,26912871
P106_2,chr8,26912872,29122541
P106_2,chr8,29122542,30037475
P106_2,chr8,30037476,40434045
P106_2,chr8,40434046,47935898
P106_2,chr8,47935899,52914230
P106_2,chr8,52914231,59574244
P106_2,chr8,59574245,60318747
P106_2,chr8,60318748,113372101
P106_2,chr8,113372102,146259314
P107_1,chr8,0,3421
P107_1,chr8,3422,8154896
P107_1,chr8,8154897,8824482
P107_1,chr8,8824483,14020339
P107_1,chr8,14020340,16048917
P107_1,chr8,16048918,20552638
P107_1,chr8,20552639,22929697
P107_1,chr8,22929698,24705380
P107_1,chr8,24705381,30534754
P107_1,chr8,30534755,46552407
P107_1,chr8,46552408,47853458
P107_1,chr8,47853459,48239756
P107_1,chr8,48239757,48569218
P107_1,chr8,48569219,52756857
P107_1,chr8,52756858,53122190
P107_1,chr8,53122191,63479869
P107_1,chr8,63479870,74177470
P107_1,chr8,74177471,77487525
P107_1,chr8,77487526,87653470
P107_1,chr8,87653471,146259314
P107_2,chr8,0,3421
P107_2,chr8,3422,146259314
P108_1,chr8,0,3421
P108_1,chr8,3422,80715851
P108_1,chr8,80715852,80851789
P108_1,chr8,80851790,111771668
P108_1,chr8,111771669,121401215
P108_1,chr8,121401216,146259314
P108_2,chr8,0,3421
P108_2,chr8,3422,66000331
P108_2,chr8,66000332,93089988
P108_2,chr8,93089989,94604720
P108_2,chr8,94604721,99962947
P108_2,chr8,99962948,103748451
P108_2,chr8,103748452,146259314
P109_1,chr8,0,3421
P109_1,chr8,3422,146259314
P109_2,chr8,0,3421
P109_2,chr8,3422,60088631
P109_2,chr8,60088632,108899144
P109_2,chr8,108899145,120544141
P109_2,chr8,120544142,125424306
P109_2,chr8,125424307,145162374
P109_2,chr8,145162375,146259314
P10_1,chr8,0,3421
P10_1,chr8,3422,16703841
P10_1,chr8,16703842,20848971
P10_1,chr8,20848972,23152119
P10_1,chr8,23152120,26960950
P10_1,chr8,26960951,35346650
P10_1,chr8,35346651,36991884
P10_1,chr8,36991885,41943904
P10_1,chr8,41943905,49031424
P10_1,chr8,49031425,52812357
P10_1,chr8,52812358,57810122
P10_1,chr8,57810123,60467309
P10_1,chr8,60467310,62156729
P10_1,chr8,62156730,69203887
P10_1,chr8,69203888,69705930
P10_1,chr8,69705931,83771413
P10_1,chr8,83771414,84188994
P10_1,chr8,84188995,87818648
P10_1,chr8,87818649,91679307
P10_1,chr8,91679308,92355530
P10_1,chr8,92355531,93023840
P10_1,chr8,93023841,94464706
P10_1,chr8,94464707,96029641
P10_1,chr8,96029642,96157753
P10_1,chr8,96157754,97182006
P10_1,chr8,97182007,99345473
P10_1,chr8,99345474,102088577
P10_1,chr8,102088578,104754113
P10_1,chr8,104754114,107111214
P10_1,chr8,107111215,108762872
P10_1,chr8,108762873,109539017
P10_1,chr8,109539018,114544186
P10_1,chr8,114544187,114971976
P10_1,chr8,114971977,119314296
P10_1,chr8,119314297,146259314
P10_2,chr8,0,3421
P10_2,chr8,3422,2954549
P10_2,chr8,2954550,13008408
P10_2,chr8,13008409,17669482
P10_2,chr8,17669483,25485347
P10_2,chr8,25485348,28541120
P10_2,chr8,28541121,35912555
P10_2,chr8,35912556,43176927
P10_2,chr8,43176928,43205210
P10_2,chr8,43205211,45368022
P10_2,chr8,45368023,84635476
P10_2,chr8,84635477,87640686
P10_2,chr8,87640687,94493303
P10_2,chr8,94493304,96083299
P10_2,chr8,96083300,98251387
P10_2,chr8,98251388,101862956
P10_2,chr8,101862957,102416874
P10_2,chr8,102416875,104136292
P10_2,chr8,104136293,114073427
P10_2,chr8,114073428,120030949
P10_2,chr8,120030950,120792432
P10_2,chr8,120792433,125985874
P10_2,chr8,125985875,128327888
P10_2,chr8,128327889,139739411
P10_2,chr8,139739412,143873402
P10_2,chr8,143873403,146259314
P110_1,chr8,0,3421
P110_1,chr8,3422,69051285
P110_1,chr8,69051286,73898590
P110_1,chr8,73898591,107843965
P110_1,chr8,107843966,124526235
P110_1,chr8,124526236,132875131
P110_1,chr8,132875132,146259314
P110_2,chr8,0,3421
P110_2,chr8,3422,104345450
P110_2,chr8,104345451,105154453
P110_2,chr8,105154454,134307636
P110_2,chr8,134307637,146259314
P111_1,chr8,0,3421
P111_1,chr8,3422,527056
P111_1,chr8,527057,36137863
P111_1,chr8,36137864,38144243
P111_1,chr8,38144244,43205210
P111_1,chr8,43205211,51059059
P111_1,chr8,51059060,51976479
P111_1,chr8,51976480,63479869
P111_1,chr8,63479870,64766138
P111_1,chr8,64766139,66000331
P111_1,chr8,66000332,66995688
P111_1,chr8,66995689,73898590
P111_1,chr8,73898591,75426165
P111_1,chr8,75426166,78454658
P111_1,chr8,78454659,88128182
P111_1,chr8,88128183,98584990
P111_1,chr8,98584991,105915176
P111_1,chr8,105915177,111771668
P111_1,chr8,111771669,119573145
P111_1,chr8,119573146,120544141
P111_1,chr8,120544142,121252537
P111_1,chr8,121252538,129965670
P111_1,chr8,129965671,146259314
P111_2,chr8,0,3421
P111_2,chr8,3422,146259314
P112_1,chr8,0,3421
P112_1,chr8,3422,79592702
P112_1,chr8,79592703,87379043
P112_1,chr8,87379044,146259314
P112_2,chr8,0,3421
P112_2,chr8,3422,9568012
P112_2,chr8,9568013,19649695
P112_2,chr8,19649696,20222566
P112_2,chr8,20222567,22705291
P112_2,chr8,22705292,22823751
P112_2,chr8,22823752,22929697
P112_2,chr8,22929698,76966625
P112_2,chr8,76966626,76993616
P112_2,chr8,76993617,77063110
P112_2,chr8,77063111,78047656
P112_2,chr8,78047657,78057196
P112_2,chr8,78057197,78435818
P112_2,chr8,78435819,80586889
P112_2,chr8,80586890,86630328
P112_2,chr8,86630329,88024698
P112_2,chr8,88024699,89070763
P112_2,chr8,89070764,89309952
P112_2,chr8,89309953,89481582
P112_2,chr8,89481583,90745115
P112_2,chr8,90745116,92385976
P112_2,chr8,92385977,92625351
P112_2,chr8,92625352,146259314
P113_1,chr8,0,3421
P113_1,chr8,3422,30670304
P113_1,chr8,30670305,39475729
P113_1,chr8,39475730,53169140
P113_1,chr8,53169141,66848711
P113_1,chr8,66848712,71145852
P113_1,chr8,71145853,86697936
P113_1,chr8,86697937,89865354
P113_1,chr8,89865355,90015580
P113_1,chr8,90015581,95323792
P113_1,chr8,95323793,96438308
P113_1,chr8,96438309,98345155
P113_1,chr8,98345156,99956781
P113_1,chr8,99956782,104893775
P113_1,chr8,104893776,108730237
P113_1,chr8,108730238,145510851
P113_1,chr8,145510852,146259314
P113_2,chr8,0,3421
P113_2,chr8,3422,14609566
P113_2,chr8,14609567,29122541
P113_2,chr8,29122542,57276713
P113_2,chr8,57276714,63238876
P113_2,chr8,63238877,66138202
P113_2,chr8,66138203,109858566
P113_2,chr8,109858567,146259314
P114_1,chr8,0,3421
P114_1,chr8,3422,22670847
P114_1,chr8,22670848,39545071
P114_1,chr8,39545072,46416055
P114_1,chr8,46416056,54343516
P114_1,chr8,54343517,60201167
P114_1,chr8,60201168,64247263
P114_1,chr8,64247264,64957405
P114_1,chr8,64957406,65956921
P114_1,chr8,65956922,66583121
P114_1,chr8,66583122,71691297
P114_1,chr8,71691298,73414748
P114_1,chr8,73414749,84205866
P114_1,chr8,84205867,95785045
P114_1,chr8,95785046,96529960
P114_1,chr8,96529961,106103964
P114_1,chr8,106103965,107028422
P114_1,chr8,107028423,121631830
P114_1,chr8,121631831,126846974
P114_1,chr8,126846975,127870507
P114_1,chr8,127870508,146259314
P114_2,chr8,0,3421
P114_2,chr8,3422,35952224
P114_2,chr8,35952225,37822911
P114_2,chr8,37822912,45194832
P114_2,chr8,45194833,81097158
P114_2,chr8,81097159,84822597
P114_2,chr8,84822598,87551276
P114_2,chr8,87551277,88925316
P114_2,chr8,88925317,89208263
P114_2,chr8,89208264,146259314
P115_1,chr8,0,3421
P115_1,chr8,3422,3489554
P115_1,chr8,3489555,11919232
P115_1,chr8,11919233,11935688
P115_1,chr8,11935689,13691980
P115_1,chr8,13691981,14609566
P115_1,chr8,14609567,20222566
P115_1,chr8,20222567,21971825
P115_1,chr8,21971826,28930910
P115_1,chr8,28930911,29148007
P115_1,chr8,29148008,30031514
P115_1,chr8,30031515,34088845
P115_1,chr8,34088846,37822911
P115_1,chr8,37822912,39869744
P115_1,chr8,39869745,40434045
P115_1,chr8,40434046,44681223
P115_1,chr8,44681224,45056959
P115_1,chr8,45056960,45335919
P115_1,chr8,45335920,45638427
P115_1,chr8,45638428,49966386
P115_1,chr8,49966387,51602677
P115_1,chr8,51602678,51716757
P115_1,chr8,51716758,57742771
P115_1,chr8,57742772,59368235
P115_1,chr8,59368236,60035305
P115_1,chr8,60035306,66883665
P115_1,chr8,66883666,67479597
P115_1,chr8,67479598,70388910
P115_1,chr8,70388911,71145852
P115_1,chr8,71145853,71648710
P115_1,chr8,71648711,72820232
P115_1,chr8,72820233,74255033
P115_1,chr8,74255034,76423992
P115_1,chr8,76423993,77104736
P115_1,chr8,77104737,77244800
P115_1,chr8,77244801,77538982
P115_1,chr8,77538983,77833470
P115_1,chr8,77833471,78127481
P115_1,chr8,78127482,79318805
P115_1,chr8,79318806,81049733
P115_1,chr8,81049734,81377728
P115_1,chr8,81377729,85057492
P115_1,chr8,85057493,86907672
P115_1,chr8,86907673,88552811
P115_1,chr8,88552812,88925316
P115_1,chr8,88925317,89070763
P115_1,chr8,89070764,89498145
P115_1,chr8,89498146,90745115
P115_1,chr8,90745116,90877397
P115_1,chr8,90877398,93608748
P115_1,chr8,93608749,93838692
P115_1,chr8,93838693,96327789
P115_1,chr8,96327790,98961288
P115_1,chr8,98961289,105620340
P115_1,chr8,105620341,117346246
P115_1,chr8,117346247,120745988
P115_1,chr8,120745989,124495082
P115_1,chr8,124495083,129141928
P115_1,chr8,129141929,138203169
P115_1,chr8,138203170,146259314
P115_2,chr8,0,3421
P115_2,chr8,3422,11804514
P115_2,chr8,11804515,17286573
P115_2,chr8,17286574,19567244
P115_2,chr8,19567245,68642396
P115_2,chr8,68642397,71691297
P115_2,chr8,71691298,73113161
P115_2,chr8,73113162,73670077
P115_2,chr8,73670078,76811095
P115_2,chr8,76811096,78916782
P115_2,chr8,78916783,80197822
P115_2,chr8,80197823,82475573
P115_2,chr8,82475574,82678248
P115_2,chr8,82678249,87551276
P115_2,chr8,87551277,90081875
P115_2,chr8,90081876,90191790
P115_2,chr8,90191791,90239105
P115_2,chr8,90239106,92385976
P115_2,chr8,92385977,93516519
P115_2,chr8,93516520,94921667
P115_2,chr8,94921668,96039758
P115_2,chr8,96039759,97568046
P115_2,chr8,97568047,98131063
P115_2,chr8,98131064,98185227
P115_2,chr8,98185228,98521932
P115_2,chr8,98521933,99733281
P115_2,chr8,99733282,101227103
P115_2,chr8,101227104,102036777
P115_2,chr8,102036778,102518499
P115_2,chr8,102518500,106120471
P115_2,chr8,106120472,106691198
P115_2,chr8,106691199,107883564
P115_2,chr8,107883565,108231725
P115_2,chr8,108231726,112389891
P115_2,chr8,112389892,112485054
P115_2,chr8,112485055,114549096
P115_2,chr8,114549097,115150958
P115_2,chr8,115150959,118155423
P115_2,chr8,118155424,123064766
P115_2,chr8,123064767,126928099
P115_2,chr8,126928100,131431940
P115_2,chr8,131431941,132998909
P115_2,chr8,132998910,133197174
P115_2,chr8,133197175,142478129
P115_2,chr8,142478130,145014227
P115_2,chr8,145014228,145510851
P115_2,chr8,145510852,145879003
P115_2,chr8,145879004,146259314
P116_1,chr8,0,3421
P116_1,chr8,3422,1429875
P116_1,chr8,1429876,1740982
P116_1,chr8,1740983,3059840
P116_1,chr8,3059841,3489554
P116_1,chr8,3489555,10918698
P116_1,chr8,10918699,12115843
P116_1,chr8,12115844,12961788
P116_1,chr8,12961789,22724541
P116_1,chr8,22724542,50053762
P116_1,chr8,50053763,53503820
P116_1,chr8,53503821,58868732
P116_1,chr8,58868733,63955173
P116_1,chr8,63955174,66082460
P116_1,chr8,66082461,68075553
P116_1,chr8,68075554,69238328
P116_1,chr8,69238329,70603900
P116_1,chr8,70603901,70984779
P116_1,chr8,70984780,72478692
P116_1,chr8,72478693,73414748
P116_1,chr8,73414749,82180011
P116_1,chr8,82180012,84822597
P116_1,chr8,84822598,85418422
P116_1,chr8,85418423,87316334
P116_1,chr8,87316335,88257383
P116_1,chr8,88257384,89657252
P116_1,chr8,89657253,90081875
P116_1,chr8,90081876,91021670
P116_1,chr8,91021671,92612756
P116_1,chr8,92612757,92804934
P116_1,chr8,92804935,93428752
P116_1,chr8,93428753,95191568
P116_1,chr8,95191569,95785045
P116_1,chr8,95785046,96848373
P116_1,chr8,96848374,98961288
P116_1,chr8,98961289,99922572
P116_1,chr8,99922573,101654074
P116_1,chr8,101654075,104236414
P116_1,chr8,104236415,104343572
P116_1,chr8,104343573,127285073
P116_1,chr8,127285074,142965948
P116_1,chr8,142965949,146259314
P116_2,chr8,0,3421
P116_2,chr8,3422,12160320
P116_2,chr8,12160321,14395484
P116_2,chr8,14395485,20775759
P116_2,chr8,20775760,21971825
P116_2,chr8,21971826,29122541
P116_2,chr8,29122542,29739981
P116_2,chr8,29739982,36862852
P116_2,chr8,36862853,42665759
P116_2,chr8,42665760,51270694
P116_2,chr8,51270695,52819903
P116_2,chr8,52819904,55390739
P116_2,chr8,55390740,63576528
P116_2,chr8,63576529,64934836
P116_2,chr8,64934837,67089282
P116_2,chr8,67089283,67209229
P116_2,chr8,67209230,76418363
P116_2,chr8,76418364,77551044
P116_2,chr8,77551045,79642603
P116_2,chr8,79642604,81176153
P116_2,chr8,81176154,83154333
P116_2,chr8,83154334,85779818
P116_2,chr8,85779819,86586118
P116_2,chr8,86586119,95386592
P116_2,chr8,95386593,95650845
P116_2,chr8,95650846,97580695
P116_2,chr8,97580696,97998179
P116_2,chr8,97998180,104012593
P116_2,chr8,104012594,106103964
P116_2,chr8,106103965,107171609
P116_2,chr8,107171610,126800424
P116_2,chr8,126800425,127861183
P116_2,chr8,127861184,128272093
P116_2,chr8,128272094,143400947
P116_2,chr8,143400948,146259314
P117_1,chr8,0,3421
P117_1,chr8,3422,78127481
P117_1,chr8,78127482,78229386
P117_1,chr8,78229387,83798278
P117_1,chr8,83798279,146259314
P117_2,chr8,0,3421
P117_2,chr8,3422,1740982
P117_2,chr8,1740983,12115843
P117_2,chr8,12115844,44681223
P117_2,chr8,44681224,47935898
P117_2,chr8,47935899,53867167
P117_2,chr8,53867168,55081095
P117_2,chr8,55081096,107033470
P117_2,chr8,107033471,146031527
P117_2,chr8,146031528,146259314
P118_1,chr8,0,3421
P118_1,chr8,3422,6143615
P118_1,chr8,6143616,6317030
P118_1,chr8,6317031,19152836
P118_1,chr8,19152837,25847657
P118_1,chr8,25847658,47917395
P118_1,chr8,47917396,57418189
P118_1,chr8,57418190,98392482
P118_1,chr8,98392483,133235264
P118_1,chr8,133235265,146259314
P118_2,chr8,0,3421
P118_2,chr8,3422,7054939
P118_2,chr8,7054940,17019010
P118_2,chr8,17019011,37822911
P118_2,chr8,37822912,64377528
P118_2,chr8,64377529,65876882
P118_2,chr8,65876883,67089282
P118_2,chr8,67089283,70794167
P118_2,chr8,70794168,71192328
P118_2,chr8,71192329,75711461
P118_2,chr8,75711462,76811095
P118_2,chr8,76811096,81377728
P118_2,chr8,81377729,83314946
P118_2,chr8,83314947,85706974
P118_2,chr8,85706975,86244056
P118_2,chr8,86244057,90081875
P118_2,chr8,90081876,92489544
P118_2,chr8,92489545,93608748
P118_2,chr8,93608749,93838692
P118_2,chr8,93838693,95618168
P118_2,chr8,95618169,96313489
P118_2,chr8,96313490,96529960
P118_2,chr8,96529961,97513217
P118_2,chr8,97513218,98691626
P118_2,chr8,98691627,102518499
P118_2,chr8,102518500,102694930
P118_2,chr8,102694931,107234961
P118_2,chr8,107234962,112245898
P118_2,chr8,112245899,112389891
P118_2,chr8,112389892,116438361
P118_2,chr8,116438362,125077387
P118_2,chr8,125077388,126800424
P118_2,chr8,126800425,126846974
P118_2,chr8,126846975,132998909
P118_2,chr8,132998910,146259314
P119_1,chr8,0,3421
P119_1,chr8,3422,6143615
P119_1,chr8,6143616,8923358
P119_1,chr8,8923359,11935688
P119_1,chr8,11935689,12115843
P119_1,chr8,12115844,13394104
P119_1,chr8,13394105,13706786
P119_1,chr8,13706787,35845768
P119_1,chr8,35845769,37822911
P119_1,chr8,37822912,44951696
P119_1,chr8,44951697,47917395
P119_1,chr8,47917396,48748395
P119_1,chr8,48748396,51566956
P119_1,chr8,51566957,52819888
P119_1,chr8,52819889,56948326
P119_1,chr8,56948327,58143668
P119_1,chr8,58143669,59368235
P119_1,chr8,59368236,60598570
P119_1,chr8,60598571,66447288
P119_1,chr8,66447289,67047222
P119_1,chr8,67047223,67089282
P119_1,chr8,67089283,68141295
P119_1,chr8,68141296,71350186
P119_1,chr8,71350187,75544277
P119_1,chr8,75544278,78456056
P119_1,chr8,78456057,79453162
P119_1,chr8,79453163,79886299
P119_1,chr8,79886300,83116955
P119_1,chr8,83116956,83641415
P119_1,chr8,83641416,89004988
P119_1,chr8,89004989,89837497
P119_1,chr8,89837498,94855806
P119_1,chr8,94855807,95654336
P119_1,chr8,95654337,95801886
P119_1,chr8,95801887,97365046
P119_1,chr8,97365047,97568046
P119_1,chr8,97568047,97816688
P119_1,chr8,97816689,98392482
P119_1,chr8,98392483,98519587
P119_1,chr8,98519588,98909796
P119_1,chr8,98909797,98961288
P119_1,chr8,98961289,99922572
P119_1,chr8,99922573,100177175
P119_1,chr8,100177176,103724390
P119_1,chr8,103724391,106796004
P119_1,chr8,106796005,107988385
P119_1,chr8,107988386,108141002
P119_1,chr8,108141003,112328894
P119_1,chr8,112328895,113172523
P119_1,chr8,113172524,118516181
P119_1,chr8,118516182,118626696
P119_1,chr8,118626697,120946524
P119_1,chr8,120946525,124399364
P119_1,chr8,124399365,138406214
P119_1,chr8,138406215,146259314
